Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
90,100.0,3,9.0,0,7.5,7,1475000.0,0,15,0,1,0,0,2.0
110,130.0,4,3.0,0,0.0,7,1900000.0,0,5,0,0,0,0,2.0
120,140.0,4,3.0,0,0.0,7,2000000.0,0,5,0,0,0,0,2.0
90,100.0,3,1.0,0,0.0,8,1400000.0,0,5,0,1,0,0,1.0
165,175.0,4,1.0,0,18.0,6,2189000.0,0,7,0,1,0,0,1.0
120,140.0,4,3.0,0,25.0,11,1925000.0,0,5,0,1,0,0,1.0
200,250.0,6,1.0,0,18.0,7,6250000.0,0,3,0,1,0,0,3.0
100,120.0,3,1.0,0,0.0,7,2500000.0,0,5,0,1,0,0,1.0
55,80.0,2,2.0,1,18.0,6,925000.0,0,6,0,1,1,0,1.0
150,170.0,4,7.0,0,25.0,6,1750000.0,0,8,0,1,1,0,1.0
130,140.0,4,3.0,0,25.0,7,2320000.0,0,5,0,1,0,0,1.0
230,245.0,5,4.0,0,13.0,7,3299000.0,0,12,0,1,0,0,2.0
175,200.0,5,2.0,0,18.0,7,2475000.0,0,7,0,0,0,0,2.0
60,70.0,2,0.5,0,0.0,6,960000.0,0,9,0,0,1,0,1.0
90,115.0,3,0.0,0,2.0,7,1950000.0,0,13,0,1,0,0,2.0
135,150.0,4,8.0,0,18.0,6,2100000.0,0,8,0,1,0,0,1.0
300,340.0,4,2.0,0,25.0,6,22500000.0,0,3,0,1,0,0,1.0
147,160.0,4,6.0,0,13.0,7,2190000.0,0,10,0,1,1,0,1.0
45,65.0,2,5.0,0,4.0,6,865000.0,0,12,0,0,0,0,1.0
155,200.0,4,3.0,0,1.0,7,4800000.0,0,15,0,1,0,0,2.0
120,145.0,4,12.0,0,7.5,7,3250000.0,0,12,0,1,0,0,2.0
105,125.0,4,0.5,0,0.0,7,1750000.0,0,5,0,1,0,0,2.0
70,80.0,2,0.5,0,0.0,6,875000.0,0,3,0,1,1,0,1.0
110,135.0,4,1.0,0,7.5,7,2180000.0,0,10,1,0,0,0,1.0
110,130.0,4,2.0,0,0.0,7,1900000.0,0,5,0,1,0,0,2.0
75,80.0,3,1.0,0,4.0,6,2050000.0,0,10,1,1,0,0,2.0
145,165.0,4,2.0,0,25.0,6,1835000.0,0,5,0,1,0,0,1.0
125,150.0,4,4.0,0,0.0,7,2540000.0,0,6,0,1,0,0,1.0
120,130.0,3,1.0,0,18.0,3,2800000.0,0,1,0,1,0,1,1.0
40,45.0,2,4.0,0,0.0,7,1950000.0,0,4,0,1,0,0,1.0
160,180.0,4,0.5,0,4.0,7,3000000.0,0,3,0,1,0,0,2.0
100,120.0,4,2.0,0,0.0,7,1850000.0,0,2,0,1,1,0,1.0
65,78.0,3,0.0,0,3.0,7,1650000.0,0,8,0,1,0,0,2.0
100,120.0,3,9.0,0,4.0,7,2175000.0,0,12,0,1,1,0,1.0
170,190.0,4,10.0,0,18.0,7,2390000.0,0,11,0,1,1,0,1.0
160,170.0,4,14.0,0,0.0,7,2975000.0,0,15,0,1,0,0,2.0
90,110.0,3,8.0,0,4.0,7,2150000.0,0,13,0,1,0,0,2.0
180,220.0,4,9.0,0,18.0,3,3250000.0,0,15,0,1,0,0,1.0
150,178.0,4,4.0,0,4.0,7,2899000.0,0,15,0,1,0,0,1.0
160,200.0,4,10.0,0,13.0,0,3250000.0,0,10,0,1,1,0,1.0
70,200.0,5,1.0,0,18.0,7,5500000.0,0,3,0,0,0,0,2.0
45,50.0,2,2.0,0,2.0,6,885000.0,0,13,0,1,1,0,1.0
